year,price,ann_return
1989,41.180229,19.174906377555146
1990,49.88435,-11.157063363579727
1991,44.61797,-6.08289970214368
1992,41.984802,-15.618523757601393
1993,35.91383,46.02997467110932
1994,56.907219,10.250910900393391
1995,63.050205,28.658626171561764
1996,83.974869,36.11642101036306
1997,120.50386,14.485171579794176
1998,139.286575,2.088725740494115
1999,142.226486,30.274110703890255
2000,192.51265,10.27437768433427
2001,213.343948,-4.665592614408435
2002,203.61882,-32.89260322380044
2003,146.543701,15.157555204819506
2004,170.527954,23.137627489966015
2005,214.922073,28.876191918257426
2006,286.872375,-20.163773751209913
2007,234.486893,3.232336526455668
2008,242.190125,-1.9173107820155177
2009,237.59082,24.136828570274762
2010,302.450684,-17.61478369361102
2011,253.603088,0.89530516699449
2012,255.883804,3.78710341525502
2013,265.760223,7.40634745553174
2014,286.190582,-6.845844995415054
2015,267.253998,-5.861796542546081
2016,252.038422,30.550211766027495
2017,342.093353,12.369763688550726
2018,387.138031,9.422419851362026
2019,425.389618,-6.877369343611798
2020,397.11734,-44.37628094742191
2021,254.79747,39.34281197504842
