year,price,ann_return
1989,4.003933,33.47838636706184
1990,5.59605,-21.96289477915104
1991,4.492602,17.645562227576658
1992,5.359591,10.33024962415505
1993,5.942858,48.26557833370691
1994,9.629641,-0.707078858380225
1995,9.561792,26.534937936507024
1996,12.467491,15.780986507016525
1997,14.598728,58.293367971471774
1998,26.150494,93.6963107233315
1999,66.741783,36.466250280302425
2000,96.110031,-32.73871108102936
2001,69.276558,-44.91484250551825
2002,44.210316,-30.96605053412539
2003,32.436932,25.649127213593225
2004,41.921085,3.4972339601898694
2005,43.413101,-9.049383508041087
2006,39.656998,18.03364236559969
2007,47.494022,24.156252477329097
2008,60.471149,-21.002094633885594
2009,49.015934,15.106672070587779
2010,57.009171,36.91235518838252
2011,82.461845,7.846875442297454
2012,89.193169,11.141162096528362
2013,99.705025,36.74749304750867
2014,143.982391,4.503543322241507
2015,150.614929,0.20232424644149766
2016,150.919968,-8.692753112672639
2017,138.354904,20.323681265382014
2018,169.534927,-40.44144402881156
2019,113.142097,13.471227344000944
2020,129.458038,-11.03273241533622
2021,115.934975,11.465884195197235
