Date,Open,High,Low,Close
03/19/21,6779.68,6779.68,6664.56,6708.71
03/18/21,6762.67,6791.76,6740.53,6779.68
03/17/21,6803.61,6805.73,6753.82,6762.67
03/16/21,6749.7,6812.78,6749.64,6803.61
03/15/21,6761.47,6804.91,6723.67,6749.7
03/12/21,6736.96,6766.44,6709,6761.47
03/11/21,6725.6,6755.32,6699.34,6736.96
03/10/21,6730.34,6740.77,6677.02,6725.6
03/09/21,6719.13,6786.8,6689.9,6730.34
03/08/21,6630.52,6726.4,6612.74,6719.13
03/05/21,6650.88,6710.8,6560.79,6630.52
03/04/21,6675.47,6675.47,6581.19,6650.88
03/03/21,6613.75,6705.3,6613.75,6675.47
03/02/21,6588.53,6660.82,6560.91,6613.75
03/01/21,6483.43,6612.74,6483.43,6588.53
02/26/21,6651.96,6651.96,6465.57,6483.43
02/25/21,6658.97,6702.88,6644.68,6651.96
02/24/21,6625.94,6669.86,6572.28,6658.97
02/23/21,6612.24,6675.42,6555.88,6625.94
02/22/21,6624.02,6624.71,6545.93,6612.24
02/19/21,6617.15,6646.16,6600.59,6624.02
02/18/21,6710.9,6721.76,6591.43,6617.15
02/17/21,6748.86,6760.29,6701.59,6710.9
02/16/21,6756.11,6799.92,6736.85,6748.86
02/15/21,6589.79,6775.37,6589.79,6756.11
02/12/21,6528.72,6589.79,6485.13,6589.79
02/11/21,6524.36,6554.15,6514.92,6528.72
02/10/21,6531.56,6577,6481.02,6524.36
02/09/21,6523.53,6540.97,6501.02,6531.56
02/08/21,6489.33,6567.7,6489.33,6523.53
02/05/21,6503.72,6518.65,6457.6,6489.33
02/04/21,6507.82,6553.37,6478.15,6503.72
02/03/21,6516.65,6573.1,6489.51,6507.82
02/02/21,6466.42,6523.51,6466.42,6516.65
02/01/21,6407.46,6495.56,6407.46,6466.42
01/29/21,6526.15,6526.15,6397.24,6407.46
01/28/21,6567.37,6567.37,6439.55,6526.15
01/27/21,6654.01,6661.31,6505.84,6567.37
01/26/21,6638.85,6702.35,6636.34,6654.01
01/25/21,6695.07,6714.61,6610.26,6638.85
01/22/21,6715.42,6715.66,6651.71,6695.07
01/21/21,6740.39,6776.92,6715.42,6715.42
01/20/21,6712.95,6751.81,6697.46,6740.39
01/19/21,6720.65,6770.66,6697.67,6712.95
01/18/21,6735.71,6741.47,6709.33,6720.65
01/15/21,6801.96,6802.05,6676.55,6735.71
01/14/21,6745.52,6801.96,6736.78,6801.96
01/13/21,6754.11,6772.57,6736.01,6745.52
01/12/21,6798.48,6816.65,6738.21,6754.11
01/11/21,6873.26,6873.26,6768.72,6798.48
01/08/21,6856.96,6886.34,6836.08,6873.26
01/07/21,6841.86,6903.61,6795.11,6856.96
01/06/21,6612.25,6859.14,6611.87,6841.86
01/05/21,6571.88,6622.77,6544.25,6612.25
01/04/21,6460.52,6662.66,6460.52,6571.88
12/31/20,6555.82,6555.82,6439.41,6460.52
12/30/20,6602.65,6622.98,6552.46,6555.82
12/29/20,6502.11,6676.6,6502.11,6602.65
12/24/20,6495.75,6530.28,6479.59,6502.11
12/23/20,6453.16,6497.28,6431.21,6495.75
12/22/20,6416.32,6457.47,6382.61,6453.16
12/21/20,6529.18,6529.18,6315.34,6416.32
12/18/20,6551.06,6604.54,6518.25,6529.18
12/17/20,6570.91,6601.63,6551.06,6551.06
12/16/20,6513.32,6598.42,6513.32,6570.91
12/15/20,6531.83,6558.24,6484.04,6513.32
12/14/20,6546.75,6583.7,6524.7,6531.83
12/11/20,6599.76,6607.44,6520.54,6546.75
12/10/20,6564.29,6640.74,6561.11,6599.76
12/09/20,6558.82,6623.03,6558.82,6564.29
12/08/20,6555.39,6567.59,6518.37,6558.82
12/07/20,6550.23,6601.11,6519.82,6555.39
12/04/20,6490.27,6559.18,6489.75,6550.23
12/03/20,6463.39,6491.49,6430.27,6490.27
12/02/20,6384.73,6468.64,6367.51,6463.39
12/01/20,6266.19,6400.24,6263.6,6384.73
11/30/20,6367.58,6404.02,6266.19,6266.19
11/27/20,6362.93,6375.91,6302.22,6367.58
11/26/20,6391.09,6412.65,6349.53,6362.93
11/25/20,6432.17,6468.73,6375.25,6391.09
11/24/20,6333.84,6432.42,6333.72,6432.17
11/23/20,6351.45,6392.08,6325.24,6333.84
11/20/20,6334.35,6386.7,6324.6,6351.45
11/19/20,6385.24,6385.24,6314.26,6334.35
11/18/20,6365.33,6395.91,6326.74,6385.24
11/17/20,6421.29,6424.53,6308.99,6365.33
11/16/20,6316.39,6463.51,6316.39,6421.29
11/13/20,6338.94,6338.97,6280.4,6316.39
11/12/20,6382.1,6382.1,6295.79,6338.94
11/11/20,6296.85,6397.28,6293.21,6382.1
11/10/20,6186.29,6307,6180.47,6296.85
11/09/20,5910.02,6258.31,5910.02,6186.29
11/06/20,5906.18,5950.22,5858.48,5910.02
11/05/20,5883.26,5933.05,5881.87,5906.18
11/04/20,5786.77,5885.67,5711.21,5883.26
11/03/20,5654.97,5787.61,5654.97,5786.77
11/02/20,5577.27,5665.3,5554.73,5654.97
10/30/20,5581.75,5593.4,5534.08,5577.27
10/29/20,5582.8,5616.58,5534.66,5581.75
10/28/20,5728.99,5728.99,5525.52,5582.8
10/27/20,5792.01,5806.23,5728.18,5728.99
10/26/20,5860.28,5868.36,5782.37,5792.01
10/23/20,5785.65,5885.38,5781.78,5860.28
10/22/20,5776.5,5796.44,5716.4,5785.65
10/21/20,5889.22,5903.38,5769.62,5776.5
10/20/20,5884.65,5915.47,5861.81,5889.22
10/19/20,5919.58,5959.67,5871.95,5884.65
10/16/20,5832.52,5933.81,5832.52,5919.58
10/15/20,5935.06,5935.06,5786.2,5832.52
10/14/20,5969.71,6009.81,5926.49,5935.06
10/13/20,6001.38,6008.04,5949.97,5969.71
10/12/20,6016.65,6037.08,5995.11,6001.38
10/09/20,5978.03,6040.47,5978.03,6016.65
10/08/20,5946.25,6004.15,5929.41,5978.03
10/07/20,5949.94,5977.15,5929.16,5946.25
10/06/20,5942.94,5971.48,5903.4,5949.94
10/05/20,5902.12,5974.22,5902.12,5942.94
10/02/20,5879.45,5902.12,5809.61,5902.12
10/01/20,5866.1,5925.77,5849.82,5879.45
09/30/20,5897.5,5931.37,5854.46,5866.1
09/29/20,5927.93,5927.93,5862.93,5897.5
09/28/20,5842.67,5954.42,5842.67,5927.93
09/25/20,5822.78,5843.72,5771.49,5842.67
09/24/20,5899.26,5899.26,5805.28,5822.78
09/23/20,5829.46,5974.88,5829.46,5899.26
09/22/20,5804.29,5871.28,5794.54,5829.46
09/21/20,6007.05,6007.05,5779.24,5804.29
09/18/20,6049.92,6055.24,6006.28,6007.05
09/17/20,6078.48,6078.48,5998.69,6049.92
09/16/20,6105.54,6119.24,6057.63,6078.48
09/15/20,6026.25,6123.69,6026.17,6105.54
09/14/20,6032.09,6080.02,6011.83,6026.25
09/11/20,6003.32,6057.69,5992.93,6032.09
09/10/20,6012.84,6028.76,5950.62,6003.32
09/09/20,5930.3,6031.25,5923.43,6012.84
09/08/20,5937.4,5985.26,5868.87,5930.3
09/07/20,5799.08,5946.93,5798.47,5937.4
09/04/20,5850.86,5904.16,5778.4,5799.08
09/03/20,5940.95,5996.24,5838.02,5850.86
09/02/20,5862.05,5974.7,5862.05,5940.95
09/01/20,5963.57,5972.52,5824.04,5862.05
08/28/20,5999.99,6033.04,5962.46,5963.57
08/27/20,6045.6,6062.52,5999.99,5999.99
08/26/20,6037.01,6050.81,5992.22,6045.6
08/25/20,6104.73,6173.48,6032.1,6037.01
08/24/20,6001.89,6119.8,6001.89,6104.73
08/21/20,6013.34,6036.51,5948.8,6001.89
08/20/20,6111.98,6111.98,6009.61,6013.34
08/19/20,6076.62,6114.83,6045,6111.98
08/18/20,6127.44,6162.66,6062.58,6076.62
08/17/20,6090.04,6140.19,6061.46,6127.44
08/14/20,6185.62,6185.62,6036.13,6090.04
08/13/20,6280.12,6280.12,6185.62,6185.62
08/12/20,6154.34,6297.2,6151.64,6280.12
08/11/20,6050.59,6206,6050.59,6154.34
08/10/20,6032.18,6099.48,6028.49,6050.59
08/07/20,6026.94,6046.02,5996.73,6032.18
08/06/20,6104.72,6104.72,5980.44,6026.94
08/05/20,6036,6111.5,6036,6104.72
08/04/20,6032.85,6056.47,5986.77,6036
08/03/20,5897.76,6038.76,5857.06,6032.85
07/31/20,5989.99,6046.33,5897.76,5897.76
07/30/20,6131.46,6145.83,5924.7,5989.99
07/29/20,6129.26,6155.06,6116.72,6131.46
07/28/20,6104.88,6149.86,6083.65,6129.26
07/27/20,6123.82,6127.62,6086.64,6104.88
07/24/20,6211.44,6211.44,6099.06,6123.82
07/23/20,6207.1,6273.63,6202.9,6211.44
07/22/20,6269.73,6270.96,6197.45,6207.1
07/21/20,6261.52,6315.68,6253.9,6269.73
07/20/20,6290.3,6297.64,6222.15,6261.52
07/17/20,6250.69,6293.68,6230.01,6290.3
07/16/20,6292.65,6296.78,6227.33,6250.69
07/15/20,6179.75,6323.55,6179.75,6292.65
07/14/20,6176.19,6179.75,6093.23,6179.75
07/13/20,6095.41,6187.33,6095.41,6176.19
07/10/20,6049.62,6108.2,6003.19,6095.41
07/09/20,6156.16,6176.84,6040.26,6049.62
07/08/20,6189.9,6208.43,6144.52,6156.16
